0.90476,1.0,0.90476,0.80952,0.61905,0.42857,0.14286,0.04762,-0.04762,-0.14286,-0.42857,-0.90476,-0.80952,-0.61905,-0.52381,-0.33333,-0.52381,-0.61905,-0.71429,-0.61905,-0.42857,-0.2381,-0.42857,-0.2381,-0.33333,-0.14286,-0.2381,-0.42857,-0.42883
-1.0,-0.6,-0.8,-0.6,0.0,-0.4,-0.2,-0.4,0.0,-0.2,0.0,-0.6,-0.4,-0.2,0.2,0.6,0.4,-0.02,0.2,-0.2,0.4,0.2,0.6,0.8,0.6,1.0,0.8,0.4,-0.27504
1.0,0.80952,0.42857,0.33333,0.2381,0.14286,0.2381,0.33333,0.42857,0.14286,-0.04762,0.04762,0.2381,0.04762,0.14286,0.04762,-0.04762,0.04762,-0.14286,-0.04762,-0.33333,-0.2381,-0.14286,-0.2381,-0.33333,-0.42857,-0.33333,-0.42857,-0.2432
-1.0,-0.85714,-0.71429,-0.42857,-0.28571,-0.42857,-0.14286,0.0,-0.14286,-0.28571,-0.14286,0.0,0.28571,0.14286,0.0,-0.44286,-0.28571,-0.14286,0.0,0.14286,-0.14286,0.0,0.14286,0.42857,0.57143,0.71429,0.57143,0.85714,-0.07957
-1.0,-0.70909,-0.45455,-0.56364,-0.49091,-0.52727,-0.49091,-0.38182,-0.30909,-0.34545,-0.41818,-0.6,-0.45455,-0.56364,-0.38182,-0.12727,0.05455,-0.01818,0.09091,0.23636,0.74545,0.81818,0.63636,0.49091,0.74545,0.67273,0.81818,0.70909,2.41467
-0.75,-0.25,-0.625,-0.5,-1.0,0.0,0.25,0.375,-0.375,-0.5,-0.25,-0.875,0.125,0.625,0.75,0.0,0.125,0.375,0.5,0.875,0.625,1.0,0.625,0.875,0.5,0.0,-0.625,-0.875,2.93565
0.96825,0.90476,1.0,0.90476,0.96825,0.87302,0.74603,0.5873,0.52381,0.74603,0.61905,0.71429,0.77778,0.80952,0.61905,0.65079,0.46032,0.01587,0.07937,-0.04762,-0.07937,0.01587,-0.2381,-0.04762,0.1746,0.04762,-0.14286,-0.39683,2.84519
0.62162,1.0,0.78378,0.45946,0.02703,0.08108,-0.08108,-0.02703,-0.13514,-1.0,-0.94595,-0.72973,-0.2973,-0.35135,-0.40541,-0.45946,-0.40541,-0.13514,-0.2973,-0.24324,0.08108,-0.08108,0.08108,-0.02703,-0.24324,-0.2973,-0.35135,-0.2973,2.98846
-1.0,-0.66667,-0.0,0.16667,-0.0,-0.33333,-0.5,-0.33333,-0.5,-0.83333,-0.66667,-0.83333,-0.66667,-0.5,-0.16667,-0.0,-0.18333,-0.33333,-0.0,-0.33333,-0.16667,0.16667,0.33333,0.5,1.0,0.66667,0.16667,-0.0,-0.14538
-1.0,-0.82609,-0.91304,-0.73913,-0.82609,-0.73913,-0.56522,-0.30435,-0.55652,-0.47826,-0.56522,-0.65217,-0.56522,-0.65217,-0.82609,-0.73913,-0.82609,-0.65217,-0.47826,-0.21739,-0.04348,0.04348,0.13043,0.29565,0.3913,0.56522,0.3913,0.21739,-0.68937
-0.45455,-0.27273,0.27273,0.45455,0.27273,0.63636,0.81818,-0.09091,0.09091,-0.09091,0.63636,0.81818,1.0,0.45455,-0.27273,-0.63636,-0.27273,0.09091,-0.27273,-0.45455,-0.63636,-0.81818,-1.0,-0.81818,-0.63636,-0.09091,-0.27273,0.09091,0.36787
-0.33333,0.08889,0.33333,0.11111,0.55556,0.33333,1.0,0.11111,-0.77778,-0.55556,0.11111,-0.33333,-1.0,-0.8,-0.33333,-0.11111,0.33333,-0.11111,-0.55556,0.11111,-0.11111,0.11111,-0.11111,0.11111,-0.11111,0.11111,0.33333,0.77778,-0.19069
-0.16279,-0.34884,-0.67442,-0.5814,-0.2093,0.34884,-0.16279,0.25581,0.34884,0.62791,0.72093,0.90698,0.81395,1.0,0.34884,-0.11628,-0.72093,-0.76744,-1.0,-0.53488,-0.25581,-0.06977,0.16279,0.30233,0.25581,0.16279,-0.2093,0.06977,2.37667
-0.60976,-0.46341,-0.5122,-0.60976,-1.0,-0.70732,-0.65854,-0.02439,-0.31707,-0.41463,-0.7561,-0.5122,-0.26829,-0.56098,-0.46341,-0.36585,-0.02439,0.07317,0.5122,0.95122,1.0,0.90244,0.46341,0.41463,0.60976,0.56098,0.41463,0.5122,2.14424
0.93333,0.9,0.8,0.86667,0.83333,0.76667,0.9,0.86667,0.83333,1.0,0.93333,0.83333,0.66667,0.7,0.63333,0.86667,0.83333,0.76667,0.53333,0.6,0.53333,0.26667,0.13333,0.16667,-0.03333,-0.06667,-0.2,-0.26667,2.72385
1.0,0.82222,0.86667,0.6,0.55556,0.37778,0.28889,-0.33333,-0.2,-0.42222,-0.6,-0.68889,-0.55556,-0.42222,-0.73333,-0.91111,-1.0,-0.64444,-0.82222,-0.51111,-0.46667,-0.68889,-0.42222,-0.37778,-0.51111,-0.82222,-0.64444,-0.6,2.6296
-1.0,-0.75,-0.6875,-0.625,-0.5,-0.25,-0.1875,0.0,0.125,0.0625,0.5,0.4375,0.5625,0.6875,0.625,0.8125,0.86875,0.9375,0.875,0.9375,1.0,0.375,0.6875,0.5625,0.625,0.5,0.5625,0.625,-0.21952
-0.5,-0.25,-0.75,-0.25,-0.5,-0.75,-0.25,-0.5,-0.75,-1.0,-0.5,-0.25,-0.75,-0.5,0.25,0.5,0.25,0.0,-0.5,0.0,-0.75,-0.5,-0.25,0.25,1.0,0.5,0.0,-0.75,-0.51932
0.90476,1.0,0.90476,0.52381,0.61905,0.52381,0.14286,-0.33333,-0.42857,-0.33333,-0.14286,-0.04762,-0.2381,-0.52381,-0.80952,-0.90476,-0.71429,-0.80952,-0.90476,-1.0,-0.80952,-0.61905,-0.71429,-0.81905,-1.0,-0.90476,-0.80952,-1.0,-0.62968
-1.0,-0.6,-0.46667,-0.53333,-0.6,0.06667,-0.06667,-0.2,-0.06667,0.46667,0.33333,0.06667,0.33333,0.06667,0.33333,0.46667,0.33333,0.46667,0.2,0.06667,-0.2,0.2,0.06667,0.2,0.33333,0.2,0.06667,-0.2,-0.14387
1.0,0.90476,0.80952,0.70476,0.52381,0.90476,1.0,0.80952,0.52381,0.2381,0.14286,-0.04762,-0.14286,-0.42857,-0.04762,-0.14286,-0.33333,-0.42857,-0.61905,-0.52381,-0.61905,-0.71429,-0.52381,-0.71429,-0.61905,-0.52381,-0.61905,-0.80952,-0.32222
-1.0,-0.82609,-0.73913,-0.30435,-0.13043,0.13043,0.47826,0.21739,0.04348,0.47826,0.91304,1.0,0.47826,0.13043,0.3913,0.47826,0.30435,0.13043,-0.13043,0.04348,-0.08696,-0.3913,-0.30435,-0.47826,-0.26087,0.04348,0.13043,0.21739,-0.27009
-0.09091,-0.27273,-0.09091,0.45455,0.09091,-0.27273,-0.45455,-0.27273,-0.09091,-0.27273,-0.09091,0.27273,-0.09091,0.27273,-0.27273,-1.0,-0.63636,-1.0,0.27273,0.07273,0.45455,0.63636,1.0,0.81818,0.27273,-0.09091,0.27273,-0.09091,-0.2331
0.09091,0.27273,0.09091,0.27273,0.81818,1.0,0.81818,0.45455,1.0,0.81818,0.45455,0.09091,0.45455,0.27273,0.09091,-0.27273,-0.63636,-0.81818,-0.63636,-0.45455,-0.81818,-1.0,-0.81818,-0.63636,-0.45455,-0.81818,-0.45455,-0.63636,-0.55264
0.66316,0.6,0.76842,0.95789,0.93684,0.95789,1.0,0.93684,0.72632,0.64211,0.2,0.45263,0.32632,0.22105,0.2,-0.34737,-0.17895,-0.38947,-0.45263,-0.53684,-0.55789,-0.64211,-1.0,-0.83158,-0.55789,-0.41053,-0.43158,-0.45263,2.835
